"education","south","female","workexp","unionmember","wages","age","ethnicity","occupation","sector","married"
10,0,1,44,1,6.09999990463257,60,"White","Other","Manufacturing",0
16,1,1,13,0,3.75,35,"White","Other","Other",0
13,0,0,8,1,9,27,"Other","Other","Manufacturing",0
12,0,0,13,0,9.44999980926514,31,"White","Other","Manufacturing",0
11,0,0,18,1,5.5,35,"White","Other","Other",1
12,0,1,18,0,8.93000030517578,36,"White","Other","Other",1
12,1,1,6,0,6.25,24,"White","Other","Other",0
11,1,0,37,1,9.75,54,"White","Other","Manufacturing",1
12,1,0,2,0,6.73000001907349,20,"White","Other","Manufacturing",1
12,0,0,23,0,7.78000020980835,41,"White","Other","Manufacturing",1
12,0,0,1,0,2.84999990463257,19,"White","Other","Other",0
12,1,1,10,0,3.34999990463257,28,"Other","Other","Manufacturing",1
12,0,0,23,0,19.9799995422363,41,"White","Other","Manufacturing",1
12,0,0,8,1,8.5,26,"Other","Other","Other",1
15,0,1,9,0,9.75,30,"White","Other","Manufacturing",1
12,0,0,33,1,15,51,"White","Other","Construction",1
12,0,1,19,0,8,37,"White","Other","Manufacturing",1
13,0,0,14,0,11.25,33,"White","Other","Other",1
11,0,0,13,1,14,30,"White","Other","Other",1
10,0,0,12,0,10,28,"White","Other","Construction",1
12,0,0,8,0,6.5,26,"White","Other","Other",0
12,0,0,23,0,9.82999992370605,41,"White","Other","Manufacturing",1
14,0,1,13,0,18.5,33,"White","Other","Manufacturing",0
12,1,0,9,0,12.5,27,"White","Other","Other",1
14,0,0,21,1,26,41,"White","Other","Other",1
5,1,0,44,0,14,55,"White","Other","Construction",1
12,0,0,4,1,10.5,22,"White","Other","Other",1
8,0,0,42,0,11,56,"White","Other","Manufacturing",1
13,0,0,10,1,12.4700002670288,29,"White","Other","Other",1
12,0,0,11,0,12.5,29,"White","Other","Construction",0
12,0,0,40,1,15,58,"White","Other","Construction",1
12,0,0,8,0,6,26,"White","Other","Construction",0
11,1,0,29,0,9.5,46,"White","Other","Construction",1
16,0,0,3,1,5,25,"White","Other","Other",0
11,0,0,11,0,3.75,28,"White","Other","Construction",0
12,0,0,12,1,12.5699996948242,30,"White","Other","Other",1
8,0,1,22,0,6.88000011444092,36,"Hispanic","Other","Other",1
12,0,0,12,0,5.5,30,"White","Other","Other",1
12,0,0,7,1,7,25,"White","Other","Other",1
12,0,1,15,0,4.5,33,"White","Other","Manufacturing",0
12,0,0,28,0,6.5,46,"White","Other","Other",1
12,1,0,20,1,12,38,"White","Other","Manufacturing",1
12,1,0,6,0,5,24,"White","Other","Construction",0
12,1,0,5,0,6.5,23,"White","Other","Manufacturing",0
9,1,1,30,0,6.80000019073486,45,"White","Other","Manufacturing",1
13,0,0,18,0,8.75,37,"White","Other","Other",1
12,1,1,6,0,3.75,24,"Other","Other","Manufacturing",1
12,1,0,16,0,4.5,34,"Hispanic","Other","Other",0
12,1,0,1,1,6,19,"Hispanic","Other","Other",0
12,0,0,3,0,5.5,21,"White","Other","Manufacturing",0
12,0,0,8,0,13,26,"White","Other","Other",1
14,0,0,2,0,5.65000009536743,22,"White","Other","Manufacturing",0
9,0,0,16,0,4.80000019073486,31,"Other","Other","Manufacturing",0
10,1,0,9,0,7,25,"White","Other","Construction",1
12,0,0,2,0,5.25,20,"White","Other","Other",0
7,1,0,43,0,3.34999990463257,56,"White","Other","Manufacturing",1
9,0,0,38,0,8.5,53,"White","Other","Manufacturing",1
12,0,0,9,0,6,27,"White","Other","Other",1
12,1,0,12,0,6.75,30,"White","Other","Other",1
12,0,0,18,0,8.89000034332275,36,"White","Other","Manufacturing",1
11,0,0,15,1,14.210000038147,32,"White","Other","Manufacturing",0
11,1,0,28,1,10.7799997329712,45,"Other","Other","Construction",1
10,1,0,27,1,8.89999961853027,43,"White","Other","Construction",1
12,1,0,38,0,7.5,56,"White","Other","Other",1
12,0,1,3,0,4.5,21,"White","Other","Manufacturing",0
12,0,0,41,1,11.25,59,"White","Other","Other",1
12,1,0,16,1,13.4499998092651,34,"White","Other","Other",1
13,1,0,7,0,6,26,"White","Other","Manufacturing",1
6,1,1,33,0,4.61999988555908,45,"Other","Other","Manufacturing",0
14,0,0,25,0,10.5799999237061,45,"White","Other","Manufacturing",1
12,1,0,5,0,5,23,"White","Other","Other",1
14,1,0,17,0,8.19999980926514,37,"Other","Other","Other",0
12,1,0,1,0,6.25,19,"White","Other","Other",0
12,0,0,13,0,8.5,31,"White","Other","Manufacturing",1
16,0,0,18,0,24.9799995422363,40,"White","Management","Other",1
14,1,0,21,0,16.6499996185303,41,"White","Management","Other",1
14,0,0,2,0,6.25,22,"White","Management","Other",0
12,1,1,4,0,4.55000019073486,22,"Hispanic","Management","Other",0
12,1,1,30,0,11.25,48,"Hispanic","Management","Other",1
13,0,0,32,0,21.25,51,"White","Management","Other",0
17,0,1,13,0,12.6499996185303,36,"White","Management","Other",1
12,0,0,17,0,7.5,35,"White","Management","Other",0
14,0,1,26,0,10.25,46,"White","Management","Other",1
16,0,0,9,0,3.34999990463257,31,"White","Management","Other",0
16,0,0,8,0,13.4499998092651,30,"Other","Management","Other",0
15,0,0,1,1,4.84000015258789,22,"White","Management","Other",1
17,1,0,32,0,26.2900009155273,55,"White","Management","Other",1
12,0,1,24,0,6.57999992370605,42,"White","Management","Other",1
14,0,1,1,0,44.5,21,"White","Management","Other",0
12,0,0,42,0,15,60,"White","Management","Manufacturing",1
16,0,1,3,0,11.25,25,"Other","Management","Manufacturing",0
12,0,1,32,0,7,50,"White","Management","Other",1
14,0,0,22,0,10,42,"Other","Management","Other",0
16,0,0,18,0,14.5299997329712,40,"White","Management","Other",1
18,0,1,19,0,20,43,"White","Management","Other",1
15,0,0,12,0,22.5,33,"White","Management","Other",1
12,0,1,42,0,3.64000010490417,60,"White","Management","Other",1
12,1,0,34,0,10.6199998855591,52,"White","Management","Other",1
18,0,0,29,0,24.9799995422363,53,"White","Management","Other",1
16,1,0,8,0,6,30,"White","Management","Other",0
18,0,0,13,0,19,37,"White","Management","Manufacturing",0
16,0,0,10,0,13.1999998092651,32,"White","Management","Other",0
16,0,0,22,0,22.5,44,"White","Management","Other",1
16,1,0,10,0,15,32,"White","Management","Other",1
17,0,1,15,0,6.88000011444092,38,"White","Management","Other",1
12,0,0,26,0,11.8400001525879,44,"White","Management","Other",1
14,0,0,16,0,16.1399993896484,36,"White","Management","Other",0
18,0,1,14,0,13.9499998092651,38,"White","Management","Other",1
12,0,1,38,0,13.1599998474121,56,"White","Management","Other",1
12,1,0,14,0,5.30000019073486,32,"Other","Management","Other",1
12,0,1,7,0,4.5,25,"White","Management","Other",1
18,1,1,13,0,10,37,"White","Management","Other",0
10,0,0,20,0,10,36,"White","Management","Other",1
16,0,0,7,1,10,29,"Hispanic","Management","Other",1
16,0,1,26,0,9.36999988555908,48,"White","Management","Other",1
16,0,0,14,0,5.80000019073486,36,"White","Management","Other",1
13,0,0,36,0,17.8600006103516,55,"White","Management","Other",0
12,0,0,24,0,1,42,"White","Management","Other",1
14,1,0,41,0,8.80000019073486,61,"White","Management","Other",1
16,0,0,7,0,9,29,"Other","Management","Other",1
17,1,0,14,0,18.1599998474121,37,"White","Management","Other",0
12,1,1,1,0,7.80999994277954,19,"White","Management","Other",0
16,0,1,6,0,10.6199998855591,28,"White","Management","Manufacturing",1
12,0,1,3,0,4.5,21,"White","Management","Other",1
15,0,0,31,0,17.25,52,"White","Management","Other",1
13,0,1,14,0,10.5,33,"White","Management","Manufacturing",1
14,0,1,13,0,9.22000026702881,33,"White","Management","Other",1
16,0,0,26,1,15,48,"Other","Management","Manufacturing",1
18,0,0,14,0,22.5,38,"White","Management","Other",1
13,0,1,33,0,4.55000019073486,52,"White","Sales","Other",1
12,0,0,16,0,9,34,"White","Sales","Other",1
18,0,0,10,0,13.3299999237061,34,"White","Sales","Other",1
14,0,0,22,0,15,42,"White","Sales","Other",0
14,0,0,2,0,7.5,22,"White","Sales","Other",0
12,1,1,29,0,4.25,47,"White","Sales","Other",1
12,0,0,43,0,12.5,61,"White","Sales","Manufacturing",1
12,0,1,5,0,5.13000011444092,23,"White","Sales","Other",1
16,1,1,14,0,3.34999990463257,36,"Other","Sales","Other",1
12,1,0,28,0,11.1099996566772,46,"White","Sales","Other",1
11,1,1,25,0,3.83999991416931,42,"Other","Sales","Other",1
12,0,1,45,0,6.40000009536743,63,"White","Sales","Other",1
14,1,0,5,0,5.55999994277954,25,"White","Sales","Other",0
12,1,0,20,0,10,38,"White","Sales","Manufacturing",1
16,0,1,6,0,5.65000009536743,28,"White","Sales","Other",1
16,0,0,16,0,11.5,38,"White","Sales","Other",1
11,0,1,33,0,3.5,50,"White","Sales","Other",1
13,1,1,2,0,3.34999990463257,21,"White","Sales","Other",1
12,1,1,10,0,4.75,28,"White","Sales","Other",0
14,1,0,44,0,19.9799995422363,64,"White","Sales","Other",1
14,1,1,6,0,3.5,26,"White","Sales","Other",1
12,0,1,15,0,4,33,"White","Sales","Other",0
12,0,0,5,0,7,23,"White","Sales","Other",1
13,0,1,4,0,6.25,23,"White","Sales","Manufacturing",1
14,0,0,14,0,4.5,34,"White","Sales","Other",1
14,0,1,32,0,14.289999961853,52,"White","Sales","Other",1
12,0,1,14,0,5,32,"White","Sales","Other",1
14,0,0,21,0,13.75,41,"White","Sales","Other",1
12,0,0,43,1,13.710000038147,61,"White","Sales","Other",1
12,1,1,27,0,7.5,45,"Other","Sales","Other",1
12,0,1,4,0,3.79999995231628,22,"White","Sales","Other",0
14,0,0,0,0,5,20,"Hispanic","Sales","Other",0
12,1,0,32,0,9.42000007629395,50,"White","Sales","Other",1
12,0,0,20,0,5.5,38,"White","Sales","Other",1
15,1,0,4,0,3.75,25,"White","Sales","Other",0
12,0,0,34,0,3.5,52,"White","Sales","Other",1
13,0,0,5,0,5.80000019073486,24,"White","Sales","Other",0
17,0,0,13,0,12,36,"White","Sales","Manufacturing",1
14,0,1,17,0,5,37,"Hispanic","Clerical","Other",1
13,1,1,10,0,8.75,29,"White","Clerical","Other",1
16,0,1,7,0,10,29,"White","Clerical","Other",1
12,0,1,25,0,8.5,43,"White","Clerical","Other",0
12,0,1,18,0,8.63000011444092,36,"Other","Clerical","Other",1
16,0,1,27,0,9,49,"White","Clerical","Manufacturing",1
16,0,1,2,0,5.5,24,"White","Clerical","Other",0
13,0,0,13,0,11.1099996566772,32,"White","Clerical","Other",1
14,0,1,24,0,10,44,"White","Clerical","Other",0
18,1,1,13,0,5.19999980926514,37,"Hispanic","Clerical","Other",1
14,0,1,15,1,8,35,"White","Clerical","Other",0
12,1,1,12,0,3.55999994277954,30,"Hispanic","Clerical","Other",0
12,0,1,24,0,5.19999980926514,42,"White","Clerical","Other",1
12,0,1,43,0,11.6700000762939,61,"White","Clerical","Construction",1
12,0,1,13,0,11.3199996948242,31,"White","Clerical","Manufacturing",1
12,1,1,16,0,7.5,34,"White","Clerical","Other",1
11,0,1,24,0,5.5,41,"White","Clerical","Other",1
16,1,1,4,0,5,26,"White","Clerical","Other",1
12,0,1,24,0,7.75,42,"White","Clerical","Other",1
12,0,1,45,0,5.25,63,"White","Clerical","Other",1
12,0,0,20,1,9,38,"White","Clerical","Other",1
12,0,1,38,0,9.64999961853027,56,"White","Clerical","Other",1
18,1,0,10,0,5.21000003814697,34,"White","Clerical","Other",1
11,0,1,16,0,7,33,"Other","Clerical","Other",1
12,1,1,32,0,12.1599998474121,50,"Other","Clerical","Other",1
16,1,1,2,0,5.25,24,"White","Clerical","Other",0
13,1,1,28,0,10.3199996948242,47,"White","Clerical","Other",0
16,0,0,3,0,3.34999990463257,25,"Other","Clerical","Other",0
13,0,1,8,1,7.69999980926514,27,"White","Clerical","Other",0
12,0,1,44,0,9.17000007629395,62,"White","Clerical","Manufacturing",1
12,1,0,12,0,8.43000030517578,30,"White","Clerical","Other",1
12,1,0,8,0,4,26,"Other","Clerical","Other",1
12,0,1,4,0,4.13000011444092,22,"White","Clerical","Other",1
12,1,1,28,0,3,46,"White","Clerical","Other",1
13,1,1,0,0,4.25,19,"White","Clerical","Other",0
14,1,0,1,0,7.53000020980835,21,"White","Clerical","Other",0
14,0,1,12,0,10.5299997329712,32,"White","Clerical","Manufacturing",1
12,0,1,39,0,5,57,"White","Clerical","Other",1
12,0,1,24,0,15.0299997329712,42,"White","Clerical","Other",1
17,0,1,32,0,11.25,55,"Other","Clerical","Other",1
16,0,0,4,0,6.25,26,"Other","Clerical","Other",0
12,0,1,25,0,3.5,43,"Other","Clerical","Other",0
12,0,0,8,0,6.84999990463257,26,"Other","Clerical","Other",0
13,0,1,16,0,12.5,35,"White","Clerical","Other",1
12,1,0,5,0,12,23,"White","Clerical","Other",0
13,0,0,31,0,6,50,"White","Clerical","Other",0
12,0,1,25,0,9.5,43,"White","Clerical","Other",0
12,0,1,15,0,4.09999990463257,33,"White","Clerical","Other",1
14,1,1,15,0,10.4300003051758,35,"White","Clerical","Other",1
12,0,1,0,0,5,18,"White","Clerical","Other",0
12,0,0,19,0,7.69000005722046,37,"White","Clerical","Other",1
12,0,1,21,0,5.5,39,"Other","Clerical","Other",0
12,0,1,6,0,6.40000009536743,24,"White","Clerical","Other",0
12,0,1,14,1,12.5,32,"White","Clerical","Other",1
13,0,1,30,0,6.25,49,"White","Clerical","Other",1
12,0,1,8,0,8,26,"White","Clerical","Other",0
9,0,0,33,1,9.60000038146973,48,"White","Clerical","Other",0
13,0,0,16,0,9.10000038146973,35,"Hispanic","Clerical","Other",0
12,1,1,20,0,7.5,38,"White","Clerical","Other",0
13,1,1,6,0,5,25,"White","Clerical","Other",1
12,0,1,10,1,7,28,"White","Clerical","Other",1
13,1,1,1,0,3.54999995231628,20,"White","Clerical","Other",0
12,1,0,2,0,8.5,20,"Other","Clerical","Other",0
13,1,1,0,0,4.5,19,"White","Clerical","Other",0
16,0,0,17,0,7.88000011444092,39,"Other","Clerical","Other",1
12,0,1,8,0,5.25,26,"White","Clerical","Other",0
12,1,0,4,0,5,22,"White","Clerical","Other",0
12,0,1,15,0,9.32999992370605,33,"White","Clerical","Other",0
12,0,1,29,0,10.5,47,"White","Clerical","Other",1
12,1,1,23,0,7.5,41,"Other","Clerical","Other",1
12,1,1,39,0,9.5,57,"White","Clerical","Other",1
12,1,1,14,0,9.60000038146973,32,"White","Clerical","Other",1
17,1,1,6,0,5.86999988555908,29,"Other","Clerical","Other",0
14,1,0,12,1,11.0200004577637,32,"White","Clerical","Other",1
12,1,1,26,0,5,44,"White","Clerical","Other",0
14,0,1,32,0,5.61999988555908,52,"White","Clerical","Other",1
15,0,1,6,0,12.5,27,"White","Clerical","Other",1
12,0,1,40,0,10.8100004196167,58,"White","Clerical","Other",1
12,0,1,18,0,5.40000009536743,36,"White","Clerical","Manufacturing",1
11,0,1,12,0,7,29,"White","Clerical","Other",0
12,1,1,36,0,4.59000015258789,54,"White","Clerical","Construction",1
12,0,1,19,0,6,37,"White","Clerical","Other",1
16,0,1,42,0,11.710000038147,64,"White","Clerical","Manufacturing",0
13,0,1,2,0,5.61999988555908,21,"Hispanic","Clerical","Other",1
12,0,1,33,0,5.5,51,"White","Clerical","Other",1
12,1,1,14,0,4.84999990463257,32,"White","Clerical","Other",1
12,0,0,22,0,6.75,40,"White","Clerical","Other",0
12,0,1,20,0,4.25,38,"White","Clerical","Other",1
12,0,1,15,0,5.75,33,"White","Clerical","Other",1
12,0,0,35,0,3.5,53,"White","Clerical","Other",1
12,0,1,7,0,3.34999990463257,25,"White","Clerical","Other",1
12,0,1,45,0,10.6199998855591,63,"White","Clerical","Manufacturing",0
12,0,1,9,0,8,27,"White","Clerical","Other",0
12,1,1,2,0,4.75,20,"White","Clerical","Other",1
17,1,0,3,0,8.5,26,"White","Clerical","Other",0
14,0,1,19,1,8.85000038146973,39,"Other","Clerical","Other",1
12,1,1,14,0,8,32,"White","Clerical","Other",1
4,0,0,54,0,6,64,"White","Service","Other",1
14,0,0,17,0,7.1399998664856,37,"White","Service","Other",1
8,0,1,29,0,3.40000009536743,43,"Other","Service","Other",1
15,1,1,26,0,6,47,"White","Service","Other",0
2,0,0,16,0,3.75,24,"Hispanic","Service","Other",0
8,0,1,29,0,8.89000034332275,43,"Other","Service","Other",0
11,0,1,20,0,4.34999990463257,37,"White","Service","Other",1
10,1,1,38,0,13.1000003814697,54,"Other","Service","Other",1
8,1,1,37,0,4.34999990463257,51,"Other","Service","Other",1
9,0,0,48,0,3.5,63,"White","Service","Other",0
12,0,1,16,0,3.79999995231628,34,"White","Service","Other",0
8,0,1,38,0,5.26000022888184,52,"White","Service","Other",1
14,0,0,0,0,3.34999990463257,20,"Other","Service","Other",0
12,0,0,14,1,16.2600002288818,32,"Other","Service","Other",0
12,0,1,2,0,4.25,20,"White","Service","Other",1
16,0,0,21,0,4.5,43,"White","Service","Other",1
13,0,1,15,0,8,34,"White","Service","Other",1
16,0,1,20,0,4,42,"White","Service","Other",0
14,0,1,12,0,7.96000003814697,32,"White","Service","Other",1
12,1,0,7,0,4,25,"Hispanic","Service","Other",0
11,0,0,4,0,4.15000009536743,21,"White","Service","Other",1
13,1,0,9,0,5.94999980926514,28,"White","Service","Other",1
12,1,1,43,0,3.59999990463257,61,"Hispanic","Service","Other",1
10,1,0,19,0,8.75,35,"White","Service","Other",0
8,0,1,49,0,3.40000009536743,63,"White","Service","Other",0
12,0,1,38,0,4.28000020980835,56,"White","Service","Other",1
12,0,1,13,0,5.34999990463257,31,"White","Service","Other",1
12,0,1,14,0,5,32,"White","Service","Other",1
12,0,0,20,0,7.65000009536743,38,"White","Service","Other",0
12,0,1,7,0,6.94000005722046,25,"White","Service","Other",0
12,0,1,9,1,7.5,27,"White","Service","Manufacturing",1
12,0,1,6,0,3.59999990463257,24,"White","Service","Other",0
12,1,1,5,0,1.75,23,"White","Service","Other",1
13,1,1,1,0,3.45000004768372,20,"Other","Service","Other",0
14,0,0,22,1,9.63000011444092,42,"White","Service","Other",1
12,0,1,24,0,8.48999977111816,42,"White","Service","Other",1
12,0,1,15,1,8.98999977111816,33,"White","Service","Other",0
11,1,1,8,0,3.65000009536743,25,"White","Service","Other",1
11,1,1,17,0,3.5,34,"White","Service","Other",1
12,1,0,2,0,3.4300000667572,20,"Other","Service","Other",0
12,1,0,20,0,5.5,38,"White","Service","Other",1
12,0,0,26,1,6.92999982833862,44,"White","Service","Other",1
10,1,1,37,0,3.50999999046326,53,"Other","Service","Other",1
12,0,1,41,0,3.75,59,"White","Service","Other",0
12,0,1,27,0,4.17000007629395,45,"White","Service","Other",1
12,0,1,5,1,9.56999969482422,23,"White","Service","Other",1
14,0,0,16,0,14.6700000762939,36,"Other","Service","Other",1
14,0,1,19,0,12.5,39,"White","Service","Other",1
12,0,0,10,0,5.5,28,"White","Service","Other",1
13,1,0,1,1,5.15000009536743,20,"White","Service","Other",0
12,0,1,43,1,8,61,"Other","Service","Other",1
13,0,0,3,0,5.82999992370605,22,"Other","Service","Other",0
12,0,1,0,0,3.34999990463257,18,"White","Service","Other",0
12,1,1,26,0,7,44,"White","Service","Other",1
10,0,1,25,1,10,41,"White","Service","Other",1
12,0,1,15,0,8,33,"White","Service","Other",1
14,1,1,10,0,6.88000011444092,30,"White","Service","Other",0
11,0,1,45,1,5.55000019073486,62,"White","Service","Other",0
11,0,0,3,0,7.5,20,"Other","Service","Other",0
8,0,0,47,1,8.93000030517578,61,"Hispanic","Service","Other",1
16,0,1,6,0,9,28,"Other","Service","Other",1
10,1,1,33,0,3.5,49,"White","Service","Other",0
16,0,0,3,0,5.76999998092651,25,"White","Service","Manufacturing",0
14,0,0,4,1,25,24,"Hispanic","Service","Other",0
14,0,0,34,1,6.84999990463257,54,"Other","Service","Other",1
11,1,0,39,0,6.5,56,"White","Service","Other",1
12,1,1,17,0,3.75,35,"White","Service","Other",1
9,0,0,47,1,3.5,62,"White","Service","Other",1
11,0,0,2,0,4.5,19,"White","Service","Other",0
13,1,0,0,0,2.00999999046326,19,"White","Service","Other",0
14,0,1,24,0,4.17000007629395,44,"White","Service","Other",0
12,0,0,25,1,13,43,"Other","Service","Other",1
14,0,1,6,0,3.98000001907349,26,"White","Service","Other",0
12,0,1,10,0,7.5,28,"White","Service","Other",0
12,0,1,33,0,13.1199998855591,51,"Other","Service","Other",1
12,0,0,12,0,4,30,"White","Service","Other",0
12,1,1,9,0,3.95000004768372,27,"White","Service","Other",1
11,1,0,18,1,13,35,"White","Service","Other",1
12,0,0,10,0,9,28,"White","Service","Other",1
8,1,1,45,0,4.55000019073486,59,"White","Service","Other",0
9,0,1,46,1,9.5,61,"White","Service","Other",1
7,1,0,14,0,4.5,27,"Hispanic","Service","Other",1
11,0,1,36,0,8.75,53,"White","Service","Other",0
13,0,0,34,1,10,53,"White","Professional","Construction",1
18,0,0,15,0,18,39,"White","Professional","Other",1
17,0,0,31,0,24.9799995422363,54,"White","Professional","Manufacturing",1
16,0,1,6,0,12.0500001907349,28,"White","Professional","Manufacturing",0
14,1,0,15,0,22,35,"White","Professional","Other",1
12,0,0,30,0,8.75,48,"White","Professional","Other",1
18,0,0,8,0,22.2000007629395,32,"White","Professional","Other",1
18,0,0,5,0,17.25,29,"White","Professional","Manufacturing",1
17,0,1,3,1,6,26,"White","Professional","Other",0
13,1,0,17,0,8.0600004196167,36,"White","Professional","Other",1
16,0,0,5,1,9.23999977111816,27,"Other","Professional","Manufacturing",1
14,0,1,10,0,12,30,"White","Professional","Other",1
15,0,1,33,0,10.6099996566772,54,"White","Professional","Other",0
18,0,0,3,0,5.71000003814697,27,"White","Professional","Other",1
16,0,1,0,0,10,18,"White","Professional","Other",0
16,1,0,13,0,17.5,35,"Other","Professional","Other",1
18,0,0,12,0,15,36,"White","Professional","Other",1
16,0,1,6,0,7.78000020980835,28,"White","Professional","Other",1
17,0,0,7,0,7.80000019073486,30,"White","Professional","Other",1
16,1,0,14,1,10,36,"White","Professional","Other",1
17,0,1,5,0,24.9799995422363,28,"White","Professional","Other",0
15,1,1,10,0,10.2799997329712,31,"White","Professional","Other",1
18,0,1,11,0,15,35,"White","Professional","Other",1
17,0,1,24,0,12,47,"White","Professional","Other",1
16,0,0,9,0,10.5799999237061,31,"White","Professional","Manufacturing",0
18,1,0,12,0,5.84999990463257,36,"White","Professional","Other",1
18,0,0,19,0,11.2200002670288,43,"White","Professional","Other",1
14,0,1,14,0,8.5600004196167,34,"White","Professional","Other",1
16,0,1,17,0,13.8900003433228,39,"White","Professional","Manufacturing",0
18,1,0,7,0,5.71000003814697,31,"White","Professional","Other",0
18,0,0,7,0,15.789999961853,31,"White","Professional","Other",1
16,0,1,22,0,7.5,44,"White","Professional","Other",1
12,0,1,28,0,11.25,46,"White","Professional","Other",1
16,0,1,16,0,6.15000009536743,38,"White","Professional","Other",0
